Week_Ending,Current_Season_Week_Ending_Label,Influenza_Season,Data_Collection_Period,Geography,Geographic_Level,Parent_Geography,Age_Group,Age_Group_Sort_Order,Race,Race_Ethnicity_Sort_Order
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,National,National,National,18-49 yrs,2,"American Indian/Alaskan Native, Non-Hispanic",2
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,National,National,National,50-64 yrs,3,"American Indian/Alaskan Native, Non-Hispanic",2
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,National,National,National,65+ yrs,4,"American Indian/Alaskan Native, Non-Hispanic",2
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,National,National,National,All Adults (18+),1,"American Indian/Alaskan Native, Non-Hispanic",2
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,National,National,National,18-49 yrs,2,"Asian, Non-Hispanic",3
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,National,National,National,50-64 yrs,3,"Asian, Non-Hispanic",3
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,National,National,National,65+ yrs,4,"Asian, Non-Hispanic",3
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,National,National,National,All Adults (18+),1,"Asian, Non-Hispanic",3
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Maine,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Oklahoma,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Oregon,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Kansas,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Hawaii,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Washington,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Bexar County,City,Texas,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,New Mexico,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Minnesota,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Wyoming,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Colorado,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Puerto Rico,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Montana,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,South Dakota,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,West Virginia,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Alaska,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Utah,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Wisconsin,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,North Dakota,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Iowa,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Indiana,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Idaho,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,New Hampshire,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Virgin Islands,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Kentucky,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Vermont,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Nebraska,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Missouri,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Ohio,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Florida,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Maryland,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Nevada,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Arizona,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Mississippi,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Arkansas,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Delaware,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Tennessee,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
01/29/2022 12:00:00 AM,01/29/2022 12:00:00 AM,2021-2022,01/02/2022 - 01/29/2022,Texas,State,National,18-49 yrs,2,"Black, Non-Hispanic",4
